,innovation,innovationand,innovations
0,4,0,0
1,1,0,0
2,2,0,0
3,0,0,0
4,9,0,0
5,0,0,0
6,0,0,1
7,0,0,0
8,10,0,0
9,4,0,0
10,1,0,0
11,0,0,1
12,3,0,3
13,0,0,1
14,1,0,0
15,1,0,0
16,0,0,1
17,2,0,0
18,6,0,2
19,1,0,0
20,3,0,2
21,4,0,0
22,0,0,1
23,0,0,1
24,1,0,0
25,1,0,0
26,2,0,0
27,1,0,0
28,2,0,0
29,0,0,1
30,0,0,0
31,0,0,1
32,0,0,0
33,0,0,1
34,1,0,0
35,4,0,2
36,6,0,0
37,1,0,0
38,1,0,1
39,0,0,0
40,1,0,0
41,0,0,1
42,0,0,0
43,0,0,1
44,7,0,0
45,1,0,0
46,0,0,1
47,0,0,0
48,0,0,0
49,0,0,1
50,1,0,0
51,1,0,0
52,0,0,1
53,1,0,0
54,1,0,0
55,0,0,0
56,1,0,0
57,0,0,0
58,1,0,1
59,0,0,1
60,0,0,1
61,1,0,0
62,0,0,1
63,2,0,1
64,3,0,0
65,0,0,0
66,1,0,0
67,4,0,0
68,2,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,0,0,0
73,0,0,0
74,0,0,1
75,2,0,0
76,0,0,3
77,0,0,0
78,1,0,0
79,0,0,1
80,5,0,3
81,1,0,0
82,2,0,0
83,1,0,0
84,0,0,1
85,0,0,1
86,0,0,0
87,1,0,0
88,3,0,0
89,0,0,1
90,2,0,0
91,0,0,0
92,7,0,0
93,6,0,0
94,0,0,1
95,0,0,1
96,1,0,0
97,1,0,0
98,4,0,0
99,0,0,1
100,2,0,0
101,1,0,1
102,1,0,0
103,1,0,0
104,6,0,0
105,0,0,1
106,0,0,4
107,1,0,0
108,1,0,0
109,0,0,0
110,1,0,0
111,1,0,0
112,1,0,0
113,0,0,1
114,3,0,0
115,1,0,0
116,0,0,1
117,5,0,0
118,0,0,1
119,0,0,0
120,1,0,0
121,1,0,0
122,1,0,0
123,1,0,0
124,0,0,1
125,0,0,0
126,0,0,1
127,1,0,0
128,1,0,0
129,0,0,1
130,1,0,0
131,2,0,0
132,2,0,0
133,1,0,0
134,4,0,0
135,0,0,1
136,3,0,0
137,1,0,0
138,0,0,0
139,0,0,1
140,2,0,0
141,1,0,0
142,1,0,0
143,0,0,0
144,1,0,0
145,0,0,0
146,1,0,0
147,5,0,0
148,2,0,0
149,1,0,0
150,2,0,0
151,1,0,0
152,0,0,1
153,1,0,0
154,1,0,0
155,1,0,1
156,1,0,0
157,1,0,0
158,0,0,1
159,6,0,0
160,1,0,0
161,2,0,0
162,2,0,0
163,2,0,2
164,1,0,0
165,1,0,0
166,1,0,0
167,2,0,4
168,0,0,0
169,2,0,0
170,2,0,1
171,2,0,0
172,0,0,4
173,0,0,1
174,1,0,0
175,8,0,1
176,0,0,1
177,9,0,1
178,0,0,1
179,7,0,1
180,1,0,0
181,0,0,2
182,0,0,1
183,3,0,0
184,0,0,2
185,4,0,1
186,0,0,0
187,1,0,0
188,0,0,2
189,0,0,1
190,2,0,0
191,0,0,2
192,3,0,0
193,1,0,0
194,0,0,1
195,1,0,0
196,0,0,1
197,1,0,0
198,0,0,1
199,1,0,0
200,1,0,0
201,2,0,1
202,1,0,0
203,1,0,0
204,0,0,0
205,1,0,0
206,1,0,0
207,0,0,0
208,1,0,0
209,6,0,0
210,1,0,0
211,1,0,0
212,0,0,1
213,1,0,0
214,1,0,0
215,1,0,0
216,0,0,1
217,1,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,1,0,0
222,1,0,0
223,1,0,0
224,0,0,1
225,8,0,0
226,0,0,1
227,1,0,0
228,2,0,4
229,3,0,0
230,1,0,0
231,3,0,0
232,1,0,1
233,1,0,0
234,1,0,0
235,0,0,0
236,1,0,0
237,1,0,0
238,1,0,0
239,1,0,0
240,2,0,0
241,17,0,0
242,1,0,0
243,3,0,0
244,1,0,0
245,0,0,1
246,1,0,0
247,0,0,2
248,1,0,0
249,0,0,5
250,3,0,0
251,1,0,0
252,1,0,0
253,0,0,1
254,0,0,2
255,0,0,0
256,2,0,0
257,0,0,1
258,1,0,0
259,0,0,0
260,0,0,0
261,1,0,0
262,0,0,0
263,1,0,0
264,1,0,0
265,0,0,1
266,4,0,0
267,0,0,1
268,1,0,0
269,1,0,0
270,1,0,1
271,0,0,1
272,1,0,0
273,0,0,1
274,1,0,0
275,0,0,3
276,1,0,1
277,0,0,0
278,0,0,1
279,1,0,0
280,1,0,0
281,0,0,1
282,0,0,0
283,3,0,0
284,7,0,0
285,1,0,7
286,0,0,1
287,1,0,0
288,0,0,1
289,0,0,0
290,1,0,0
291,0,0,0
292,0,0,2
293,1,0,0
294,0,0,5
295,0,0,1
296,2,0,0
297,1,0,0
298,1,0,0
299,1,0,0
300,1,0,0
301,0,0,1
302,7,0,2
303,1,0,0
304,2,0,0
305,0,0,1
306,0,0,1
307,1,0,0
308,0,0,1
309,1,0,0
310,2,0,1
311,0,0,1
312,3,0,0
313,0,0,1
314,1,0,0
315,1,0,0
316,0,0,1
317,1,0,0
318,2,0,0
319,1,0,0
320,0,0,1
321,2,0,0
322,1,0,0
323,1,0,0
324,3,0,0
325,2,0,0
326,0,0,1
327,0,0,1
328,1,0,0
329,1,0,0
330,2,0,0
331,0,0,1
332,3,0,0
333,0,0,0
334,7,0,0
335,1,0,0
336,4,0,0
337,0,0,0
338,5,0,0
339,4,0,1
340,2,0,0
341,1,0,1
342,0,0,1
343,1,0,0
344,1,0,0
345,5,0,0
346,0,0,1
347,2,0,7
348,0,0,1
349,0,0,0
350,0,0,0
351,1,0,3
352,1,0,0
353,0,0,0
354,1,0,0
355,1,0,0
356,4,0,0
357,1,0,0
358,2,0,0
359,5,0,0
360,1,0,0
361,1,0,0
362,2,0,0
363,2,0,0
364,1,0,0
365,2,0,0
366,1,0,0
367,4,0,1
368,1,0,0
369,1,0,0
370,3,0,0
371,2,0,0
372,1,0,0
373,0,0,2
374,1,0,0
375,1,0,0
376,0,0,2
377,2,0,0
378,0,0,0
379,1,0,0
380,1,0,0
381,7,0,0
382,2,0,0
383,0,0,1
384,0,0,1
385,11,0,0
386,8,0,0
387,1,0,0
388,1,0,0
389,2,0,0
390,0,0,0
391,0,0,0
392,0,0,0
393,2,0,0
394,1,0,0
395,1,0,0
396,2,0,1
397,0,0,1
398,1,0,0
399,1,0,0
400,2,0,0
401,0,0,1
402,1,0,0
403,3,0,0
404,1,0,0
405,0,0,1
406,3,0,0
407,1,0,0
408,1,0,0
409,0,0,1
410,2,0,0
411,0,0,2
412,7,0,0
413,3,0,0
414,1,0,0
415,0,0,1
416,1,0,0
417,0,0,1
418,1,0,0
419,2,0,6
420,1,0,0
421,0,0,0
422,0,0,1
423,1,0,0
424,0,0,1
425,4,0,0
426,6,0,0
427,2,0,0
428,1,0,0
429,1,0,0
430,0,0,1
431,0,0,1
432,1,0,0
433,1,0,0
434,1,0,0
435,1,0,0
436,1,0,0
437,1,0,0
438,5,0,3
439,1,0,0
440,1,0,0
441,1,0,0
442,1,0,0
443,1,0,0
444,6,0,0
445,1,0,0
446,0,0,0
447,1,0,0
448,1,0,0
449,1,0,1
450,3,0,0
451,0,0,1
452,1,0,0
453,2,0,0
454,1,0,1
455,1,0,0
456,2,0,0
457,2,0,0
458,1,0,0
459,1,0,0
460,1,0,1
461,1,0,0
462,2,0,0
463,0,0,1
464,0,0,1
465,0,0,0
466,0,0,0
467,0,0,1
468,2,0,0
469,1,0,1
470,1,0,0
471,1,0,0
472,0,0,1
473,1,0,0
474,0,0,1
475,0,0,1
476,4,0,0
477,1,0,0
478,5,0,0
479,3,0,0
480,1,0,0
481,3,0,3
482,1,0,0
483,1,0,0
484,0,0,0
485,1,0,0
486,0,0,1
487,2,0,0
488,0,0,1
489,2,0,0
490,0,0,1
491,2,0,0
492,1,0,1
493,1,0,0
494,0,0,1
495,1,0,0
496,0,0,0
497,0,0,0
498,0,0,1
499,2,0,0
500,1,0,0
501,0,0,0
502,5,0,0
503,1,0,0
504,1,0,0
505,1,0,0
506,1,0,1
507,1,0,0
508,2,0,0
509,1,0,0
510,1,0,0
511,0,0,0
512,0,0,1
513,1,0,0
514,0,0,2
515,1,0,0
516,4,0,0
517,2,0,0
518,0,0,1
519,1,0,0
520,1,0,0
521,0,0,0
522,1,0,0
523,0,0,3
524,4,0,2
525,1,0,2
526,0,0,1
527,2,0,0
528,0,0,0
529,0,0,0
530,1,0,0
531,1,0,0
532,0,0,0
533,0,0,1
534,1,0,0
535,1,0,0
536,1,0,0
537,1,0,0
538,1,0,0
539,7,0,1
540,1,0,0
541,13,0,0
542,0,0,0
543,0,0,1
544,0,0,1
545,1,0,0
546,1,0,0
547,1,0,0
548,0,0,1
549,0,0,0
550,1,0,0
551,0,0,0
552,1,0,0
553,2,0,0
554,0,0,0
555,1,0,0
556,1,0,0
557,2,0,0
558,1,0,0
559,0,0,0
560,1,0,1
561,0,0,0
562,0,0,2
563,6,0,0
564,0,0,1
565,0,0,1
566,0,0,1
567,0,0,1
568,1,0,0
569,0,0,1
570,0,0,1
571,0,0,1
572,2,0,0
573,2,0,0
574,0,0,1
575,0,0,0
576,1,0,0
577,1,0,0
578,1,0,1
579,2,0,0
580,0,0,0
581,1,0,0
582,1,0,0
583,1,0,0
584,1,0,1
585,1,0,0
586,0,0,0
587,1,0,0
588,0,0,1
589,2,0,0
590,3,0,0
591,0,0,1
592,10,0,3
593,0,0,0
594,0,0,1
595,2,0,0
596,1,0,1
597,1,0,0
598,1,0,0
599,1,0,0
600,0,0,3
601,1,0,0
602,1,0,0
603,0,0,1
604,0,0,1
605,3,0,0
606,0,0,1
607,2,0,0
608,2,0,0
609,1,0,0
610,2,0,0
611,0,0,1
612,1,0,0
613,1,0,0
614,1,0,0
615,0,0,2
